f7f4 1522
 f0c 10bf
1625 fbe1
 7f2 eb00
f23e ee40
e997  275
f67d 1478
 c8f 12ca
1684 ff2c
 b0e ec6b
f50c ec68
e977 ff36
f391 12db
 989 1478
1662  27c
 dbc ee38
f7f5 eaf1
e9d5 fbcc
f0e3 10b9
 66b 1593
15c8  5b9
1044 f067
fb1c ea02
eab9 f8ba
eeac  e68
 333 1664
14c9  8f5
1271 f2f2
fe67 e977
ebf7 f5a0
ec9c  bb6
ffed 1687
132d  bbf
1410 f5b3
 1ba e974
edb9 f2b2
eb32  8a9
fca3 163a
1139  e65
1558 f8cc
 515 ea04
efe2 f045
ea37  597
f97a 1578
 ef5 10d2
162d fc16
 834 eb07
f25b ee0b
e98c  24c
f651 145e
 c4b 12df
166f ff47
 b18 ec73
f521 ec4b
e978 feed
f354 12be
 976 1487
1665  287
 dd9 ee32
f814 eae5
e9e9 fbd4
f0e1 10ab
 65a 15a7
15d0  5ed
107a f084
fb4a e9e9
eab0 f891
ee7d  e4d
 315 1659
1497  901
1270 f326
fe99 e987
ec10 f571
ec80  b88
ffc6 16a3
131e  bfc
142a f5fa
 1e2 e99a
eddc f2b2
eb1f  893
fc53 1637
1115  ec4
1575 f91a
 536 ea12
f007 f022
ea21  574
f938 1582
 ee1 10f9
1648 fc2f
 850 eaf9
f26f edef
e991  236
f637 143c
 c38 12e9
1692 ff7d
 b65 ec6b
f534 ec15
e965 feeb
f359 12b3
 95f 1490
1665  2b7
 def ee59
f82a eadd
e9ef fbab
f0b9 1076
 631 15a5
15bd  5ed
107b f08c
fb89 e9e6
eadc f84f
ee70  df8
 2ed 1651
14af  92a
128a f327
fecf e98a
ec39 f549
ec8f  b54
ff91 1689
1309  c0c
142c f600
 1f1 e995
edef f28d
eb14  857
fc31 1636
1117  ec9
1561 f925
 55f ea29
f032 f00c
ea0a  51d
f8fd 156e
 eb8 1112
1626 fc50
 878 eb27
f2ad edf0
e98f  1ef
f5f7 1429
 c19 1307
167c ffab
 b71 eca2
f57c ec1c
e989 fe96
f317 128d
 920 14af
1657  30c
 e49 ee8f
f892 eabe
e9f5 fb48
f070 1071
 5f7 15c9
15be  643
1093 f0ad
fb9d e9ea
ead5 f838
ee4b  df1
 2a8 165b
1478  96d
12aa f35c
feed e989
ec39 f53a
ec78  b45
ff62 1685
12ea  c41
1448 f64a
 243 e9ad
ee14 f279
eb0b  83d
fc08 163a
10d6  ee9
157c f976
 5a1 ea3f
f035 efd1
e9ea  514
f8dd 156f
 e80 1135
